u_id,b_id,a_id,name,average_rating,ratings_count,text_reviews_count
6219490,15793053,43295,Daniel Stashower,3.85,17346,1339
6219490,14995,9355,Dean Koontz,3.88,1780395,65614
6219490,19691,3892,Tom Clancy,3.96,964637,14386
6011544,17851885,7064545,Malala Yousafzai,4.02,139051,10916
6011544,18528093,6134,Arundhati Roy,3.90,167283,8464
7306174,11349502,182937,John Trent,4.09,2039,266
5876997,824734,578,Mary Pope Osborne,3.92,316947,12631
7051332,11389398,996558,Faith Erin Hicks,3.86,28058,3233
7051332,22522808,1221698,Neil Gaiman,4.13,3466418,191304
6395887,10806008,4722094,Jonathan Auxier,4.04,11472,2076
7192684,72929,25334,Sarah Waters,3.73,180997,17009
6765741,2244892,1013855,Roberto Athayde,4.11,19,1
5665398,955400,95452,David Stenn,4.09,1687,122
7027874,937463,33403,Enrique Serna,4.05,1406,162
7058621,6185,4191,Emily Brontë,3.81,857219,22917
7058621,5907,656983,J.R.R. Tolkien,4.29,5368410,79839
7313905,117564,68189,Emil Cioran,4.14,13347,1110
7313905,106096,7869,Louis-Ferdinand Céline,4.18,26234,1446
6825865,6135735,2798199,Sergio Aguirre,3.70,1232,97
5678340,370493,435477,Shel Silverstein,4.31,1980064,27147
5678340,3636,2493,Lois Lowry,4.07,1857007,85082
5678340,4381,1630,Ray Bradbury,3.99,1427972,47213
5678340,37435,4711,Sue Monk Kidd,3.97,1057850,48856
6025834,592395,307908,Henrietta C. Mears,4.32,408,44
6025834,2090152,6733,John Bowker,3.82,501,51
7247831,13533655,11349,Debbie Macomber,4.02,479971,34935
7247831,13547154,3159984,Karen Kingsbury,4.31,355961,16116
6969496,55176,4830,Peter Guralnick,4.23,10321,742
5987930,16130549,3389,Stephen King,3.98,8628592,274206
7171291,34,656983,J.R.R. Tolkien,4.29,5368639,79842
7462833,29103416,14987938,Ομήρου,5.00,1,0
7462833,13507212,58851,Hilary Mantel,3.91,172150,21309
6056838,332572,941441,Stephenie Meyer,3.64,7836756,277381
6034976,22057424,5817530,Kelly Rimmer,4.01,5449,520
6484979,1832749,588558,Lisa Schroeder,3.97,39254,5283
5917082,1232,815,Carlos Ruiz Zafón,4.08,422930,34854
6079868,1999475,4829,Donald Miller,3.97,126923,7156
7499210,22915,2938140,Jacob Grimm,4.20,215455,6734
7304396,15811545,7825,Ruth Ozeki,3.93,61265,8645
6494618,2467842,97213,Tom MacCubbin,4.08,153,15
6178520,5969,4043,Wilbur Smith,4.01,150451,5490
6178520,9827,6417,James Clavell,4.25,207747,4853
6178520,13573622,14989,Vince Flynn,4.30,390770,13334
6178520,13359067,5091,Lee Child,4.05,1008443,53288
7183430,1248692,194256,Jody Gehrman,3.71,14343,1579
7284525,963151,101823,Pramoedya Ananta Toer,4.09,33340,3361
6653376,30119,435477,Shel Silverstein,4.31,1980120,27147
6653376,6148028,153394,Suzanne Collins,4.28,7883870,340484
6653376,231804,762707,S.E. Hinton,4.02,629226,20746
5865228,17202452,5934418,Monica  Murphy,3.95,120328,9731
5865228,42155,13370,Emily Giffin,3.76,967124,38188
7086087,7895937,3432845,Antoinette van Heugten,3.76,8980,1138
7086087,232268,46097,Richard Paul Evans,4.12,211113,23392
