u_id,b_id,a_id,name,average_rating,ratings_count,text_reviews_count
1772888,1885,1265,Jane Austen,4.08,3913200,105390
1772888,960,630,Dan Brown,3.75,4543161,126848
1772888,1934,1315,Louisa May Alcott,4.00,1314401,21567
1772888,5326,239579,Charles Dickens,3.85,2156766,56170
1772888,5659,3843,Kenneth Grahame,3.97,125262,3871
1772888,1258664,56700,Crockett Johnson,4.22,115498,1979
1772888,38709,6569,Louis Sachar,3.94,835670,22207
1772888,2956,1244,Mark Twain,3.83,1745090,30407
1772888,24583,1244,Mark Twain,3.83,1745090,30407
1772888,56122,3565,Oscar Wilde,4.08,1016993,29865
1772888,24280,13661,Victor Hugo,4.09,668663,16897
1772888,3,1077326,J.K. Rowling,4.42,14694470,307287
1772888,6,1077326,J.K. Rowling,4.42,14694470,307287
1772888,2,1077326,J.K. Rowling,4.42,14694470,307287
1772888,5,1077326,J.K. Rowling,4.42,14694470,307287
1772888,15881,1077326,J.K. Rowling,4.42,14694470,307287
1772888,30119,435477,Shel Silverstein,4.31,1981431,27156
1772888,5907,656983,J.R.R. Tolkien,4.29,5374107,79927
1772888,34,656983,J.R.R. Tolkien,4.29,5374107,79927
1772888,18135,947,William Shakespeare,3.85,4460156,65504
1772888,37442,7025,Gregory Maguire,3.50,722257,39807
1772888,370493,435477,Shel Silverstein,4.31,1981431,27156
1772888,18131,106,Madeleine L'Engle,4.04,868645,26496
1772888,76620,7717,Richard Adams,4.02,289742,9994
1772888,8127,5350,L.M. Montgomery,4.18,1093374,27762
1772888,902,10074,Ellen Raskin,4.02,111006,7011
1772888,2998,2041,Frances Hodgson Burnett,4.12,799710,17047
1772888,233818,4999,Scott O'Dell,3.77,244744,7291
1772888,19543,4489,Maurice Sendak,4.20,735311,13400
1772888,30118,435477,Shel Silverstein,4.31,1981431,27156
1772888,6310,4273,Roald Dahl,4.09,2019982,50491
1772888,39988,4273,Roald Dahl,4.09,2019982,50491
1772888,6327,4273,Roald Dahl,4.09,2019982,50491
1772888,295,854076,Robert Louis Stevenson,3.82,673327,18323
1772888,8852,947,William Shakespeare,3.85,4460156,65504
1772888,375802,589,Orson Scott Card,4.05,1872826,83006
1772888,7967,589,Orson Scott Card,4.05,1872826,83006
1772888,218433,77656,Lucy Mack Smith,4.37,4177,353
1772888,77390,5350,L.M. Montgomery,4.18,1093374,27762
1772888,77392,5350,L.M. Montgomery,4.18,1093374,27762
1772888,3412,2325,Colleen McCullough,4.15,308251,8123
1772888,232576,2560,Louise Fitzhugh,3.96,70301,2020
1772888,77394,5350,L.M. Montgomery,4.18,1093374,27762
