book_isbn,avg_rating,five_rating,four_rating,three_rating,two_rating,one_rating
0812550706,4.6,72,18,6,2,2
0670026603,4.6,73,19,5,2,1
0743418735,4.0,50,22,11,10,7
0743454553,3.8,39,29,15,8,9
0743496744,3.8,40,23,16,14,7
0743496728,4.3,60,23,9,4,4
0743454537,4.2,57,22,9,6,6
0062012983,3.4,40,15,8,16,21
1401302629,3.8,46,20,11,13,10
0874771218,4.3,68,14,7,6,5
0609809547,4.2,61,19,8,5,7
0307275558,3.0,20,22,19,18,21
0553816713,4.3,67,14,6,4,9
0965818675,4.0,56,17,10,8,9
1594480001,4.6,73,17,5,3,2
0060838582,4.3,60,26,7,3,4
0451205766,4.7,82,12,4,1,1
0613713346,0.0,0,0,0,0,0
0312647034,4.8,77,23,0,0,0
0312647026,4.1,44,32,15,6,3
023075063X,4.5,61,29,8,2,0
0061990639,4.4,54,34,7,4,1
0553579274,4.0,45,24,19,7,5
0060525266,4.6,67,27,6,0,0
0330420135,4.1,48,31,12,5,4
055357924X,4.3,49,34,13,4,0
0553579304,4.5,63,27,4,6,0
0060525274,4.6,66,26,8,0,0
0060789573,4.5,63,29,7,1,0
0060789557,4.3,49,35,15,1,0
0060534397,4.4,49,43,7,0,1
0061287512,4.5,63,26,10,0,1
0061150401,4.4,57,32,6,5,0
0061287539,4.5,64,22,9,3,2
0060534389,4.2,42,41,12,3,2
0609806505,3.1,27,16,15,18,24
0609809105,4.0,50,21,14,7,8
0061626317,3.9,44,23,18,13,2
1101875100,4.2,62,15,11,5,7
0385352123,4.2,49,26,20,4,1
0374379939,4.0,49,26,12,7,6
0545812542,4.5,68,23,6,1,2
141970785X,4.3,33,67,0,0,0
1594486638,4.5,70,17,6,3,4
0061961086,4.6,75,14,6,4,1
0786812400,4.7,81,14,3,1,1
0763616052,4.7,78,16,4,1,1
0141301066,4.7,80,13,4,1,2
1616955600,4.4,67,22,4,3,4
0545448689,4.0,59,14,9,6,12
0385743173,4.5,60,36,3,1,0
0544129660,3.7,28,36,19,14,3
0679643753,3.9,42,28,16,6,8
0525428437,4.7,76,21,2,0,1
1572931574,4.8,86,8,3,2,1
020107981X,4.7,86,5,6,0,3
0446572993,4.4,60,29,7,2,2
0451179803,4.1,54,20,11,11,4
0451204727,4.6,77,15,4,3,1
0340686014,4.2,57,23,10,6,4
0451208765,3.4,33,20,17,14,16
0743292510,4.3,59,22,8,6,5
0340770066,4.3,56,26,11,5,2
0743454146,3.9,48,20,14,11,7
0743292502,3.7,42,22,14,10,12
0451206525,4.3,53,30,10,4,3
0340686030,4.5,67,24,6,2,1
0743292499,4.4,60,27,7,4,2
0743454154,4.4,60,28,6,4,2
0743454162,4.3,56,27,9,3,5
0446516694,4.3,61,18,8,10,3
075532174X,4.6,70,18,12,0,0
0446364428,4.0,48,24,10,14,4
0449203913,3.7,40,10,35,5,10
0446611948,3.8,28,37,26,4,5
0446606960,3.5,43,10,17,15,15
0679745580,4.5,67,22,7,2,2
0452284244,4.4,66,22,7,2,3
